City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,meadow lakes,61.6247,-149.6011,7.93,62,0,6.69,US,1697479450
160,degerfors,59.238,14.4308,3.71,60,15,2.99,SE,1697479450
161,santa elena de uairen,4.6167,-61.1333,28.75,48,92,3.46,VE,1697479451
162,kone,-21.0595,164.8658,22.75,91,98,2.52,NC,1697479451
163,atasu,48.6814,71.6433,8.08,52,52,1.2,KZ,1697479451
164,zaozersk,69.4005,32.4476,2.57,83,100,11.09,RU,1697479451
165,levuka,50.1834,-105.4011,15.85,44,40,3.6,CA,1697479451
166,borba,-4.3878,-59.5939,36.88,32,89,2.44,BR,1697479347
167,howrah,22.5892,88.3103,28.0,74,20,0.0,IN,1697479451
168,constantia,44.1833,28.65,8.38,54,1,4.85,RO,1697479445
169,vilyuysk,63.7553,121.6247,-2.12,52,100,5.36,RU,1697479357
170,walvis bay,-22.9575,14.5053,14.49,85,15,3.39,NA,1697479453
171,rabo de peixe,37.8,-25.5833,21.66,99,40,7.2,PT,1697479454
172,tsiombe,-25.3,45.4833,22.04,71,100,3.12,MG,1697479454
173,tuy hoa,13.0833,109.3,23.74,94,100,2.54,VN,1697479224
174,mokhsogollokh,61.4681,128.9203,-4.87,57,82,2.86,RU,1697479455
175,nemuro,43.3236,145.575,9.68,67,38,6.83,JP,1697479328
176,dalhart,36.0595,-102.5133,21.38,30,32,2.44,US,1697479304
177,kapuskasing,49.4169,-82.4331,7.05,87,75,4.12,CA,1697479456
178,gilgit,35.9221,74.3087,13.67,77,100,0.97,PK,1697479456
179,lagoa,39.05,-27.9833,19.79,81,67,7.83,PT,1697479456
180,polyarnyye zori,67.3661,32.4981,0.55,97,100,6.46,RU,1697479456
181,olonkinbyen,70.9221,-8.7187,0.58,83,100,6.18,SJ,1697479314
182,xinxiang,35.3089,113.8672,17.18,53,0,1.25,CN,1697479457
183,kourou,5.1552,-52.6478,34.03,58,67,5.03,GF,1697479390
184,howard springs,-12.497,131.047,25.95,86,19,1.95,AU,1697479457
185,puerto ayora,-0.7393,-90.3518,26.98,89,92,4.02,EC,1697479458
186,el calafate,-50.3408,-72.2768,8.85,54,100,5.07,AR,1697479458
187,facatativa,4.8137,-74.3545,17.75,70,89,2.56,CO,1697479459
188,colonia,50.9333,6.95,9.92,84,20,2.06,DE,1697479291
